Date,Province,CovidCase
2021-01-10,Bắc Ninh,0
2021-01-10,Bến Tre,1
2021-01-10,Bình Định,0
2021-01-10,Bình Dương,1
2021-01-10,Bình Phước,0
2021-01-10,Bình Thuận,0
2021-01-10,Cà Mau,0
2021-01-10,Cần Thơ,0
2021-01-10,Cao Bằng,0
2021-01-10,Đà Nẵng,0
2021-01-10,Đắk Lắk,0
2021-01-10,Đắk Nông,0
2021-01-10,Điện Biên,0
2021-01-10,Đồng Nai,0
2021-01-10,Đồng Tháp,0
2021-01-10,Gia Lai,0
2021-01-10,Hà Giang,0
2021-01-10,Hà Nam,0
2021-01-10,TP. Hà Nội,9
2021-01-10,Hà Tĩnh,0
2021-01-10,Hải Dương,4
2021-01-10,Hải Phòng,0
2021-01-10,Hậu Giang,0
2021-01-10,TP. Hồ Chí Minh,2
2021-01-10,Hòa Bình,2
2021-01-10,Hưng Yên,2
2021-01-10,Khánh Hòa,0
2021-01-10,Kiên Giang,0
2021-01-10,Kon Tum,0
2021-01-10,Lai Châu,0
2021-01-10,Lâm Đồng,0
2021-01-10,Lạng Sơn,0
2021-01-10,Lào Cai,0
2021-01-10,Long An,0
2021-01-10,Nam Định,0
2021-01-10,Nghệ An,0
2021-01-10,Ninh Bình,0
2021-01-10,Ninh Thuận,0
2021-01-10,Phú Thọ,0
2021-01-10,Phú Yên,11
2021-01-10,Quảng Bình,0
2021-01-10,Quảng Nam,0
2021-01-10,Quảng Ngãi,0
2021-01-10,Quảng Ninh,2
2021-01-10,Quảng Trị,0
2021-01-10,Sóc Trăng,0
2021-01-10,Sơn La,0
2021-01-10,Tây Ninh,0
2021-01-10,Thái Bình,0
2021-01-10,Thái Nguyên,0
2021-01-10,Thanh Hóa,1
2021-01-10,Thừa Thiên-Huế,0
2021-01-10,Tiền Giang,1
2021-01-10,Trà Vinh,1
2021-01-10,Tuyên Quang,0
2021-01-10,Vĩnh Long,0
2021-01-10,Vĩnh Phúc,0
2021-01-10,Yên Bái,0
2021-01-10,Chưa rõ ,0
2021-01-11,An Giang,0
2021-01-11,Bà Rịa - Vũng Tàu,1
2021-01-11,Bắc Giang,0
2021-01-11,Bắc Kạn,0
2021-01-11,Bạc Liêu,1
2021-01-11,Bắc Ninh,0
2021-01-11,Bến Tre,1
2021-01-11,Bình Định,0
2021-01-11,Bình Dương,1
2021-01-11,Bình Phước,0
2021-01-11,Bình Thuận,0
2021-01-11,Cà Mau,0
2021-01-11,Cần Thơ,0
2021-01-11,Cao Bằng,0
2021-01-11,Đà Nẵng,0
2021-01-11,Đắk Lắk,0
2021-01-11,Đắk Nông,0
2021-01-11,Điện Biên,0
2021-01-11,Đồng Nai,0
2021-01-11,Đồng Tháp,0
2021-01-11,Gia Lai,0
2021-01-11,Hà Giang,0
2021-01-11,Hà Nam,0
2021-01-11,TP. Hà Nội,9
2021-01-11,Hà Tĩnh,0
2021-01-11,Hải Dương,4
2021-01-11,Hải Phòng,0
2021-01-11,Hậu Giang,0
2021-01-11,TP. Hồ Chí Minh,3
2021-01-11,Hòa Bình,2
2021-01-11,Hưng Yên,2
2021-01-11,Khánh Hòa,0
2021-01-11,Kiên Giang,0
2021-01-11,Kon Tum,0
2021-01-11,Lai Châu,0
2021-01-11,Lâm Đồng,0
2021-01-11,Lạng Sơn,0
2021-01-11,Lào Cai,0
2021-01-11,Long An,0
2021-01-11,Nam Định,0
2021-01-11,Nghệ An,0
2021-01-11,Ninh Bình,0
2021-01-11,Ninh Thuận,0
2021-01-11,Phú Thọ,0
2021-01-11,Phú Yên,12
2021-01-11,Quảng Bình,0
2021-01-11,Quảng Nam,0
2021-01-11,Quảng Ngãi,0
2021-01-11,Quảng Ninh,2
2021-01-11,Quảng Trị,0
2021-01-11,Sóc Trăng,0
2021-01-11,Sơn La,0
2021-01-11,Tây Ninh,0
2021-01-11,Thái Bình,0
2021-01-11,Thái Nguyên,0
2021-01-11,Thanh Hóa,2
2021-01-11,Thừa Thiên-Huế,0
2021-01-11,Tiền Giang,1
2021-01-11,Trà Vinh,1
2021-01-11,Tuyên Quang,0
2021-01-11,Vĩnh Long,0
2021-01-11,Vĩnh Phúc,0
2021-01-11,Yên Bái,0
2021-01-11,Chưa rõ ,0
2021-01-12,An Giang,0
2021-01-12,Bà Rịa - Vũng Tàu,1
2021-01-12,Bắc Giang,0
2021-01-12,Bắc Kạn,0
2021-01-12,Bạc Liêu,1
2021-01-12,Bắc Ninh,0
2021-01-12,Bến Tre,1
2021-01-12,Bình Định,0
2021-01-12,Bình Dương,1
2021-01-12,Bình Phước,0
2021-01-12,Bình Thuận,0
2021-01-12,Cà Mau,0
2021-01-12,Cần Thơ,0
2021-01-12,Cao Bằng,0
2021-01-12,Đà Nẵng,0
2021-01-12,Đắk Lắk,0
2021-01-12,Đắk Nông,0
2021-01-12,Điện Biên,0
2021-01-12,Đồng Nai,0
2021-01-12,Đồng Tháp,0
2021-01-12,Gia Lai,0
2021-01-12,Hà Giang,0
2021-01-12,Hà Nam,1
2021-01-12,TP. Hà Nội,9
2021-01-12,Hà Tĩnh,0
2021-01-12,Hải Dương,4
2021-01-12,Hải Phòng,0
2021-01-12,Hậu Giang,0
2021-01-12,TP. Hồ Chí Minh,3
2021-01-12,Hòa Bình,2
2021-01-12,Hưng Yên,2
2021-01-12,Khánh Hòa,0
2021-01-12,Kiên Giang,0
2021-01-12,Kon Tum,0
2021-01-12,Lai Châu,0
2021-01-12,Lâm Đồng,0
2021-01-12,Lạng Sơn,0
2021-01-12,Lào Cai,0
2021-01-12,Long An,0
2021-01-12,Nam Định,0
2021-01-12,Nghệ An,0
2021-01-12,Ninh Bình,0
2021-01-12,Ninh Thuận,0
2021-01-12,Phú Thọ,0
2021-01-12,Phú Yên,12
2021-01-12,Quảng Bình,0
2021-01-12,Quảng Nam,0
2021-01-12,Quảng Ngãi,0
2021-01-12,Quảng Ninh,2
2021-01-12,Quảng Trị,0
2021-01-12,Sóc Trăng,0
2021-01-12,Sơn La,0
2021-01-12,Tây Ninh,3
2021-01-12,Thái Bình,0
2021-01-12,Thái Nguyên,0
2021-01-12,Thanh Hóa,2
2021-01-12,Thừa Thiên-Huế,0
2021-01-12,Tiền Giang,1
2021-01-12,Trà Vinh,1
2021-01-12,Tuyên Quang,0
2021-01-12,Vĩnh Long,0
2021-01-12,Vĩnh Phúc,0
2021-01-12,Yên Bái,0
2021-01-12,Chưa rõ ,0
2021-01-13,An Giang,0
2021-01-13,Bà Rịa - Vũng Tàu,1
2021-01-13,Bắc Giang,0
2021-01-13,Bắc Kạn,0
2021-01-13,Bạc Liêu,1
2021-01-13,Bắc Ninh,0
2021-01-13,Bến Tre,1
2021-01-13,Bình Định,0
2021-01-13,Bình Dương,2
2021-01-13,Bình Phước,0
2021-01-13,Bình Thuận,0
2021-01-13,Cà Mau,0
2021-01-13,Cần Thơ,0
2021-01-13,Cao Bằng,0
2021-01-13,Đà Nẵng,0
2021-01-13,Đắk Lắk,0
2021-01-13,Đắk Nông,0
2021-01-13,Điện Biên,0
2021-01-13,Đồng Nai,0
2021-01-13,Đồng Tháp,0
2021-01-13,Gia Lai,0
2021-01-13,Hà Giang,0
2021-01-13,Hà Nam,1
2021-01-13,TP. Hà Nội,9
2021-01-13,Hà Tĩnh,0
2021-01-13,Hải Dương,4
2021-01-13,Hải Phòng,0
2021-01-13,Hậu Giang,0
2021-01-13,TP. Hồ Chí Minh,4
2021-01-13,Hòa Bình,2
2021-01-13,Hưng Yên,2
2021-01-13,Khánh Hòa,0
2021-01-13,Kiên Giang,0
2021-01-13,Kon Tum,0
2021-01-13,Lai Châu,0
2021-01-13,Lâm Đồng,0
2021-01-13,Lạng Sơn,0
2021-01-13,Lào Cai,0
2021-01-13,Long An,0
2021-01-13,Nam Định,0
2021-01-13,Nghệ An,0
